Course Session,Course,Professor,Bulletin,First Year Cirriculum,Credit-Hours,Term,Description,Year Begin,Year End,Course Category
Elementary Law (1899-1900),Elementary Law,"Nathan Abbott,Clarke Butler Whittier,Jackson Eli Reynolds,Charles Ross Lewers",1899-1900,checked,3,Full Year,,1899,1900,Introduction to Law
Contracts (1899-1900),Contracts,Clarke Butler Whittier,1899-1900,checked,3,Full Year,,1899,1900,"Contracts, Torts & Remedies"
Criminal Law (1899-1900),Criminal Law,Charles Ross Lewers,1899-1900,checked,3,Full Year,,1899,1900,Criminal Law & Procedure
Torts (1899-1900),Torts,Clarke Butler Whittier,1899-1900,checked,3,Full Year,,1899,1900,"Contracts, Torts & Remedies"
Agency (1899-1900),Agency,Jackson Eli Reynolds,1899-1900,,2,Full Year,,1899,1900,Agency
Sales (1899-1900),Sales,,1899-1900,,2,Full Year,,1899,1900,Consumer & Commercial Law
Carriers (1899-1900),Carriers,,1899-1900,,2,Full Year,,1899,1900,Administrative Law & Regulation
Trusts (1899-1900),Trusts,Charles Ross Lewers,1899-1900,,3,Full Year,,1899,1900,Trusts & Estates
Evidence (1899-1900),Evidence,Clarke Butler Whittier,1899-1900,,2,Full Year,,1899,1900,Evidence
Damages (1899-1900),Damages,,1899-1900,,2,Full Year,,1899,1900,"Contracts, Torts & Remedies"
Corporations (1899-1900),Corporations,Jackson Eli Reynolds,1899-1900,,3,Full Year,,1899,1900,Corporate Law
Partnership (1899-1900),Partnership,,1899-1900,,2,Full Year,,1899,1900,Corporate Law
Elementary Law (1900-1901),Elementary Law,"Nathan Abbott,Clarke Butler Whittier,James Parker Hall,Jackson Eli Reynolds,Charles Ross Lewers",1900-1901,checked,3,Full Year,,1900,1901,Introduction to Law
Contracts (1900-1901),Contracts,Clarke Butler Whittier,1900-1901,checked,3,Full Year,,1900,1901,"Contracts, Torts & Remedies"
Criminal Law (1900-1901),Criminal Law,Charles Ross Lewers,1900-1901,checked,3,Full Year,,1900,1901,Criminal Law & Procedure
Property I (1900-1901),Property I,Nathan Abbott,1900-1901,checked,3,Full Year,,1900,1901,Property
Torts (1900-1901),Torts,Clarke Butler Whittier,1900-1901,checked,3,Full Year,,1900,1901,"Contracts, Torts & Remedies"
Equity I (1900-1901),Equity I,Jackson Eli Reynolds,1900-1901,checked,2,Full Year,,1900,1901,"Contracts, Torts & Remedies"
Agency (1900-1901),Agency,Jackson Eli Reynolds,1900-1901,,3,Full Year,,1900,1901,Agency
Property II (1900-1901),Property II,Nathan Abbott,1900-1901,,3,Full Year,,1900,1901,Property
Sales (1900-1901),Sales,James Parker Hall,1900-1901,,3,Full Year,,1900,1901,Consumer & Commercial Law
Carriers (1900-1901),Carriers,Charles Ross Lewers,1900-1901,,3,Full Year,,1900,1901,Administrative Law & Regulation
Damages (1900-1901),Damages,Charles Ross Lewers,1900-1901,,3,Full Year,,1900,1901,"Contracts, Torts & Remedies"
Bills and Notes (1900-1901),Bills and Notes,James Parker Hall,1900-1901,,3,Full Year,,1900,1901,Consumer & Commercial Law
Trusts (1900-1901),Trusts,Charles Ross Lewers,1900-1901,,3,Full Year,,1900,1901,Trusts & Estates
Persons (1900-1901),Persons,Nathan Abbott,1900-1901,,2,Full Year,,1900,1901,Family Law
Common Law Pleading (1900-1901),Common Law Pleading,Clarke Butler Whittier,1900-1901,,3,Full Year,,1900,1901,Pleading
Evidence (1900-1901),Evidence,Clarke Butler Whittier,1900-1901,,3,Full Year,,1900,1901,Evidence
Corporations (1900-1901),Corporations,Jackson Eli Reynolds,1900-1901,,3,Full Year,,1900,1901,Corporate Law
Constitutional Law (1900-1901),Constitutional Law,James Parker Hall,1900-1901,,3,Full Year,,1900,1901,Constitutional Law
California Practice (1900-1901),California Practice,Joseph Hutchinson,1900-1901,,1,Full Year,,1900,1901,"Professional Skills, Practice & Ethics"
Mines and Irrigation (1900-1901),Mines and Irrigation,Hon. Curtis H. Lindley,1900-1901,,1,Full Year,,1900,1901,"Environmental, Natural Resources, Land Use & Water Law"
Roman Law (1900-1901),Roman Law,Henry Rushton Fairclough,1900-1901,,2,Spring,,1900,1901,Legal History
International Law (1900-1901),International Law,Clyde Augustus Duniway,1900-1901,,2,Full Year,,1900,1901,International & Comparative Law
Elementary Law (1901-1902),Elementary Law,"Nathan Abbott,Clarke Butler Whittier,James Parker Hall,Jackson Eli Reynolds,Charles Ross Lewers",1901-1902,checked,2,Full Year,"Lectures. No text-book. The aims of this course are: first, to give the students of the department such an introduction to the law as will enable them to pursue their further work to the best advantage; secondly, to give to students of other departments a few general conceptions which may prove of value to them in other work, in business, or elsewhere. Not open to first-year students. Three lecture hours weekly.

2 hrs., both semesters.",1901,1902,Introduction to Law
Contracts (1901-1902),Contracts,Clarke Butler Whittier,1901-1902,checked,3,Full Year,"Text-book: Keener's Cases on Contracts.

3 hrs., both semesters.",1901,1902,"Contracts, Torts & Remedies"
Property I (1901-1902),Property I,Nathan Abbott,1901-1902,checked,3,Full Year,"Text-book: Gray's Cases on Property, Vols. I and II. This course includes Personal Property, an introduction to the Law of Real Property, a discussion of the nature and incidents of its ownership, and a consideration of rights in another's land.

3 hrs., both semesters.",1901,1902,Property
Torts (1901-1902),Torts,Clarke Butler Whittier,1901-1902,checked,3,Full Year,,1901,1902,"Contracts, Torts & Remedies"
Criminal Law and Procedure (1901-1902),Criminal Law and Procedure,Charles Ross Lewers,1901-1902,checked,3,Full Year,,1901,1902,Criminal Law & Procedure
Equity I (1901-1902),Equity I,Jackson Eli Reynolds,1901-1902,checked,2,Full Year,,1901,1902,"Contracts, Torts & Remedies"
Agency (1901-1902),Agency,Jackson Eli Reynolds,1901-1902,,3,Full Year,,1901,1902,Agency
Bills and Notes (1901-1902),Bills and Notes,James Parker Hall,1901-1902,,3,Full Year,,1901,1902,Consumer & Commercial Law
Carriers (1901-1902),Carriers,Charles Ross Lewers,1901-1902,,2,Full Year,,1901,1902,Administrative Law & Regulation
Damages (1901-1902),Damages,Charles Ross Lewers,1901-1902,,2,Full Year,,1901,1902,"Contracts, Torts & Remedies"
Equity II: Trusts (1901-1902),Equity II: Trusts,Charles Ross Lewers,1901-1902,,2,Full Year,,1901,1902,Trusts & Estates
Pleading (1901-1902),Pleading,Clarke Butler Whittier,1901-1902,,3,Full Year,,1901,1902,Pleading
Property II (1901-1902),Property II,Nathan Abbott,1901-1902,,3,Full Year,,1901,1902,Property
Constitutional Law (1901-1902),Constitutional Law,James Parker Hall,1901-1902,,3,Full Year,,1901,1902,Constitutional Law
Equity III (1901-1902),Equity III,Jackson Eli Reynolds,1901-1902,,3,Full Year,,1901,1902,"Contracts, Torts & Remedies"
Partnership (1901-1902),Partnership,James Parker Hall,1901-1902,,2,Full Year,,1901,1902,Corporate Law
Property III (1901-1902),Property III,Nathan Abbott,1901-1902,,3,Full Year,,1901,1902,Property
California Practice (1901-1902),California Practice,Joseph Hutchinson,1901-1902,,1,Full Year,,1901,1902,"Professional Skills, Practice & Ethics"
Mines and Irrigation (1901-1902),Mines and Irrigation,Hon. Curtis H. Lindley,1901-1902,,1,Full Year,,1901,1902,"Environmental, Natural Resources, Land Use & Water Law"
International Law (1901-1902),International Law,Clyde Augustus Duniway,1901-1902,,2,Full Year,,1901,1902,International & Comparative Law
"""International Law, with special reference to the Fur Seal question"" (1901-1902)","""International Law, with special reference to the Fur Seal question""",Hon. Charles Sumner Hamlin,1901-1902,,,Spring,,1901,1902,International & Comparative Law
Roman Law and Institutions (1901-1902),Roman Law and Institutions,"Pease,Henry Rushton Fairclough",1901-1902,,1-2,Spring,Text-book: Institutes of Gaius.,1901,1902,Legal History
Elementary Law (1902-1903),Elementary Law,"Nathan Abbott,Clarke Butler Whittier,James Parker Hall,Charles Ross Lewers,James Taylor Burcham",1902-1903,,,,,1902,1903,Introduction to Law
Contracts (1902-1903),Contracts,George L. Clark,1902-1903,,,,,1902,1903,"Contracts, Torts & Remedies"
Criminal Law and Procedure (1902-1903),Criminal Law and Procedure,Charles Ross Lewers,1902-1903,,,,,1902,1903,Criminal Law & Procedure
Torts (1902-1903),Torts,George L. Clark,1902-1903,,,,,1902,1903,"Contracts, Torts & Remedies"
Equity I (1902-1903),Equity I,James Taylor Burcham,1902-1903,,,,,1902,1903,"Contracts, Torts & Remedies"
Agency (1902-1903),Agency,James Taylor Burcham,1902-1903,,,,,1902,1903,Agency
Bills and Notes (1902-1903),Bills and Notes,John E. Blair,1902-1903,,,,,1902,1903,Consumer & Commercial Law
Carriers (1902-1903),Carriers,Charles Ross Lewers,1902-1903,,,,,1902,1903,Administrative Law & Regulation
Damages (1902-1903),Damages,Charles Ross Lewers,1902-1903,,,,,1902,1903,"Contracts, Torts & Remedies"
Equity II: Trusts (1902-1903),Equity II: Trusts,Charles Ross Lewers,1902-1903,,,,,1902,1903,Trusts & Estates
Evidence (1902-1903),Evidence,John E. Blair,1902-1903,,,,,1902,1903,Evidence
Persons (1902-1903),Persons,Nathan Abbott,1902-1903,,,,,1902,1903,Family Law
Property II (1902-1903),Property II,Nathan Abbott,1902-1903,,,,,1902,1903,Property
Sales (1902-1903),Sales,George L. Clark,1902-1903,,,,,1902,1903,Consumer & Commercial Law
Constitutional Law (1902-1903),Constitutional Law,James Taylor Burcham,1902-1903,,,,,1902,1903,Constitutional Law
Corporations (1902-1903),Corporations,John E. Blair,1902-1903,,,,,1902,1903,Corporate Law
Property III (1902-1903),Property III,Nathan Abbott,1902-1903,,,,,1902,1903,Property
California Practice (1902-1903),California Practice,,1902-1903,,,,,1902,1903,"Professional Skills, Practice & Ethics"
Mines and Irrigation (1902-1903),Mines and Irrigation,,1902-1903,,,,,1902,1903,"Environmental, Natural Resources, Land Use & Water Law"
International Law (1902-1903),International Law,Clyde Augustus Duniway,1902-1903,,,,,1902,1903,International & Comparative Law
Roman Law and Institutions (1902-1903),Roman Law and Institutions,Henry Winchester Rolfe,1902-1903,,,,,1902,1903,Legal History
Elementary Law (1903-1904),Elementary Law,"Nathan Abbott,Charles Ross Lewers,John E. Blair,James Taylor Burcham,George L. Clark",1903-1904,,,,,1903,1904,Introduction to Law
Contracts (1903-1904),Contracts,George L. Clark,1903-1904,,,,,1903,1904,"Contracts, Torts & Remedies"
Criminal Law and Procedure (1903-1904),Criminal Law and Procedure,Charles Ross Lewers,1903-1904,,,,,1903,1904,Criminal Law & Procedure
Torts (1903-1904),Torts,George L. Clark,1903-1904,,,,,1903,1904,"Contracts, Torts & Remedies"
Property I (1903-1904),Property I,Nathan Abbott,1903-1904,,,,,1903,1904,Property
Equity I (1903-1904),Equity I,James Taylor Burcham,1903-1904,,,,,1903,1904,"Contracts, Torts & Remedies"
Agency (1903-1904),Agency,James Taylor Burcham,1903-1904,,,,,1903,1904,Agency
Bills and Notes (1903-1904),Bills and Notes,James Taylor Burcham,1903-1904,,,,,1903,1904,Consumer & Commercial Law
Equity II: Trusts (1903-1904),Equity II: Trusts,Charles Ross Lewers,1903-1904,,,,,1903,1904,Trusts & Estates
Evidence (1903-1904),Evidence,John E. Blair,1903-1904,,,,,1903,1904,Evidence
Pleading (1903-1904),Pleading,George L. Clark,1903-1904,,,,,1903,1904,Pleading
Property II (1903-1904),Property II,Nathan Abbott,1903-1904,,,,,1903,1904,Property
Sales (1903-1904),Sales,John E. Blair,1903-1904,,,,,1903,1904,Consumer & Commercial Law
Suretyship and Mortgages (1903-1904),Suretyship and Mortgages,Charles Ross Lewers,1903-1904,,,,,1903,1904,Consumer & Commercial Law
Constitutional Law (1903-1904),Constitutional Law,James Taylor Burcham,1903-1904,,,,,1903,1904,Constitutional Law
Corporations (1903-1904),Corporations,John E. Blair,1903-1904,,,,,1903,1904,Corporate Law
Property III (1903-1904),Property III,Nathan Abbott,1903-1904,,,,,1903,1904,Property
California Practice (1903-1904),California Practice,,1903-1904,,,,,1903,1904,"Professional Skills, Practice & Ethics"
International Law (1903-1904),International Law,Clyde Augustus Duniway,1903-1904,,,,,1903,1904,International & Comparative Law
Elementary Law (1904-1905),Elementary Law,,1904-1905,,,,,1904,1905,Introduction to Law
Contracts (1904-1905),Contracts,Arthur Martin Cathcart,1904-1905,,,,,1904,1905,"Contracts, Torts & Remedies"
Criminal Law and Procedure (1904-1905),Criminal Law and Procedure,Charles Ross Lewers,1904-1905,,,,,1904,1905,Criminal Law & Procedure
Torts (1904-1905),Torts,Arthur Martin Cathcart,1904-1905,,,,,1904,1905,"Contracts, Torts & Remedies"
Property I (1904-1905),Property I,Nathan Abbott,1904-1905,,,,,1904,1905,Property
Agency (1904-1905),Agency,Charles Ross Lewers,1904-1905,,,,,1904,1905,Agency
Damages (1904-1905),Damages,Charles Ross Lewers,1904-1905,,,,,1904,1905,"Contracts, Torts & Remedies"
Public Service Companies (1904-1905),Public Service Companies,Charles Ross Lewers,1904-1905,,,,,1904,1905,Administrative Law & Regulation
Evidence (1904-1905),Evidence,William Cullen Dennis,1904-1905,,,,,1904,1905,Evidence
Property II (1904-1905),Property II,Nathan Abbott,1904-1905,,,,,1904,1905,Property
Suretyship and Mortgages (1904-1905),Suretyship and Mortgages,Charles Ross Lewers,1904-1905,,,,,1904,1905,Consumer & Commercial Law
Constitutional Law (1904-1905),Constitutional Law,William Cullen Dennis,1904-1905,,,,,1904,1905,Constitutional Law
Corporations (1904-1905),Corporations,William Cullen Dennis,1904-1905,,,,,1904,1905,Corporate Law
Property III (1904-1905),Property III,Nathan Abbott,1904-1905,,,,,1904,1905,Property
California Practice (1904-1905),California Practice,,1904-1905,,,,,1904,1905,"Professional Skills, Practice & Ethics"
International Law (1904-1905),International Law,Clyde Augustus Duniway,1904-1905,,,,,1904,1905,International & Comparative Law
Contracts (1905-1906),Contracts,Arthur Martin Cathcart,1905-1906,,,,,1905,1906,"Contracts, Torts & Remedies"
Criminal Law and Procedure (1905-1906),Criminal Law and Procedure,Charles Henry Huberich,1905-1906,,,,,1905,1906,Criminal Law & Procedure
Torts (1905-1906),Torts,Arthur Martin Cathcart,1905-1906,,,,,1905,1906,"Contracts, Torts & Remedies"
Property I (1905-1906),Property I,Nathan Abbott,1905-1906,,,,,1905,1906,Property
Equity I (1905-1906),Equity I,Wesley Newcomb Hohfeld,1905-1906,,,,,1905,1906,"Contracts, Torts & Remedies"
Bills and Notes (1905-1906),Bills and Notes,Leon Patterson Lewis,1905-1906,,,,,1905,1906,Consumer & Commercial Law
Equity II: Trusts (1905-1906),Equity II: Trusts,Wesley Newcomb Hohfeld,1905-1906,,,,,1905,1906,Trusts & Estates
Evidence (1905-1906),Evidence,Wesley Newcomb Hohfeld,1905-1906,,,,,1905,1906,Evidence
Pleading (1905-1906),Pleading,Arthur Martin Cathcart,1905-1906,,,,,1905,1906,Pleading
Property II (1905-1906),Property II,Nathan Abbott,1905-1906,,,,,1905,1906,Property
Sales (1905-1906),Sales,Leon Patterson Lewis,1905-1906,,,,,1905,1906,Consumer & Commercial Law
Conflict of Laws (1905-1906),Conflict of Laws,Charles Henry Huberich,1905-1906,,,,,1905,1906,Civil Law & Procedure
Constitutional Law (1905-1906),Constitutional Law,Charles Henry Huberich,1905-1906,,,,,1905,1906,Constitutional Law
Corporations (1905-1906),Corporations,Leon Patterson Lewis,1905-1906,,,,,1905,1906,Corporate Law
Partnership (1905-1906),Partnership,Leon Patterson Lewis,1905-1906,,,,,1905,1906,Corporate Law
Property III (1905-1906),Property III,Nathan Abbott,1905-1906,,,,,1905,1906,Property
California Practice (1905-1906),California Practice,,1905-1906,,,,,1905,1906,"Professional Skills, Practice & Ethics"
International Law (1905-1906),International Law,Clyde Augustus Duniway,1905-1906,,,,,1905,1906,International & Comparative Law
Elementary Law (1906-1907),Elementary Law,,1906-1907,,,,,1906,1907,Introduction to Law
Contracts (1906-1907),Contracts,Arthur Martin Cathcart,1906-1907,,,,,1906,1907,"Contracts, Torts & Remedies"
Criminal Law and Procedure (1906-1907),Criminal Law and Procedure,Charles Henry Huberich,1906-1907,,,,,1906,1907,Criminal Law & Procedure
Torts (1906-1907),Torts,Leon Patterson Lewis,1906-1907,,,,,1906,1907,"Contracts, Torts & Remedies"
Property I (1906-1907),Property I,George Henry Boke,1906-1907,,,,,1906,1907,Property
Equity I (1906-1907),Equity I,Wesley Newcomb Hohfeld,1906-1907,,,,,1906,1907,"Contracts, Torts & Remedies"
Agency (1906-1907),Agency,Charles Andrews Huston,1906-1907,,,,,1906,1907,Agency
Bills and Notes (1906-1907),Bills and Notes,Leon Patterson Lewis,1906-1907,,,,,1906,1907,Consumer & Commercial Law
Damages (1906-1907),Damages,Arthur Martin Cathcart,1906-1907,,,,,1906,1907,"Contracts, Torts & Remedies"
Equity II: Trusts (1906-1907),Equity II: Trusts,Wesley Newcomb Hohfeld,1906-1907,,,,,1906,1907,Trusts & Estates
Evidence (1906-1907),Evidence,Wesley Newcomb Hohfeld,1906-1907,,,,,1906,1907,Evidence
Insurance (1906-1907),Insurance,Charles Andrews Huston,1906-1907,,,,,1906,1907,Consumer & Commercial Law
Pleading (1906-1907),Pleading,Arthur Martin Cathcart,1906-1907,,,,,1906,1907,Pleading
Public Service Companies (1906-1907),Public Service Companies,Arthur Martin Cathcart,1906-1907,,,,,1906,1907,Administrative Law & Regulation
Administrative Law and Public Officers (1906-1907),Administrative Law and Public Officers,Charles Andrews Huston,1906-1907,,,,,1906,1907,Administrative Law & Regulation
Admiralty (1906-1907),Admiralty,Charles Andrews Huston,1906-1907,,,,,1906,1907,International & Comparative Law
Conflict of Laws (1906-1907),Conflict of Laws,Charles Henry Huberich,1906-1907,,,,,1906,1907,Civil Law & Procedure
Constitutional Law (1906-1907),Constitutional Law,Charles Henry Huberich,1906-1907,,,,,1906,1907,Constitutional Law
Corporations (1906-1907),Corporations,Leon Patterson Lewis,1906-1907,,,,,1906,1907,Corporate Law
Equity III (1906-1907),Equity III,Charles Andrews Huston,1906-1907,,,,,1906,1907,"Contracts, Torts & Remedies"
Suretyship (1906-1907),Suretyship,Wesley Newcomb Hohfeld,1906-1907,,,,,1906,1907,Consumer & Commercial Law
International Law (1906-1907),International Law,Clyde Augustus Duniway,1906-1907,,,,,1906,1907,International & Comparative Law
Elementary Law (1907-1908),Elementary Law,"Charles Henry Huberich,Frederic Campbell Woodward,Clyde Augustus Duniway,Arthur Martin Cathcart,Wesley Newcomb Hohfeld,Joseph Walter Bingham,Charles Andrews Huston",1907-1908,,,,,1907,1908,Introduction to Law
Contracts (1907-1908),Contracts,Frederic Campbell Woodward,1907-1908,,,,,1907,1908,"Contracts, Torts & Remedies"
Criminal Law and Procedure (1907-1908),Criminal Law and Procedure,Charles Henry Huberich,1907-1908,,,,,1907,1908,Criminal Law & Procedure
Torts (1907-1908),Torts,Arthur Martin Cathcart,1907-1908,,,,,1907,1908,"Contracts, Torts & Remedies"
Property I (1907-1908),Property I,Joseph Walter Bingham,1907-1908,,,,,1907,1908,Property
Equity I (1907-1908),Equity I,Wesley Newcomb Hohfeld,1907-1908,,,,,1907,1908,"Contracts, Torts & Remedies"
Agency (1907-1908),Agency,Charles Andrews Huston,1907-1908,,,,,1907,1908,Agency
Equity II: Trusts (1907-1908),Equity II: Trusts,Wesley Newcomb Hohfeld,1907-1908,,,,,1907,1908,Trusts & Estates
Equity III (1907-1908),Equity III,Charles Andrews Huston,1907-1908,,,,,1907,1908,"Contracts, Torts & Remedies"
Insurance (1907-1908),Insurance,Charles Andrews Huston,1907-1908,,,,,1907,1908,Consumer & Commercial Law
Partnership (1907-1908),Partnership,Frederic Campbell Woodward,1907-1908,,,,,1907,1908,Corporate Law
Persons (1907-1908),Persons,Arthur Martin Cathcart,1907-1908,,,,,1907,1908,Family Law
Pleading and Practice I (1907-1908),Pleading and Practice I,Arthur Martin Cathcart,1907-1908,,,,,1907,1908,Pleading
Property II (1907-1908),Property II,Joseph Walter Bingham,1907-1908,,,,,1907,1908,Property
Public Service Companies (1907-1908),Public Service Companies,Arthur Martin Cathcart,1907-1908,,,,,1907,1908,Administrative Law & Regulation
Quasi-Contracts (1907-1908),Quasi-Contracts,Arthur Martin Cathcart,1907-1908,,,,,1907,1908,"Contracts, Torts & Remedies"
Sales (1907-1908),Sales,Frederic Campbell Woodward,1907-1908,,,,,1907,1908,Consumer & Commercial Law
Conflict of Laws (1907-1908),Conflict of Laws,Charles Henry Huberich,1907-1908,,,,,1907,1908,Civil Law & Procedure
Constitutional Law (1907-1908),Constitutional Law,Charles Henry Huberich,1907-1908,,,,,1907,1908,Constitutional Law
Evidence (1907-1908),Evidence,Wesley Newcomb Hohfeld,1907-1908,,,,,1907,1908,Evidence
Mortgages (1907-1908),Mortgages,Joseph Walter Bingham,1907-1908,,,,,1907,1908,Consumer & Commercial Law
Pleading and Practice II (1907-1908),Pleading and Practice II,Frederic Campbell Woodward,1907-1908,,,,,1907,1908,Pleading
Pleading and Practice III (1907-1908),Pleading and Practice III,,1907-1908,,,,,1907,1908,Pleading
Private Corporations (1907-1908),Private Corporations,Charles Andrews Huston,1907-1908,,,,,1907,1908,Corporate Law
Suretyship (1907-1908),Suretyship,Joseph Walter Bingham,1907-1908,,,,,1907,1908,Consumer & Commercial Law
International Law (1907-1908),International Law,Clyde Augustus Duniway,1907-1908,,,,,1907,1908,International & Comparative Law
Introduction to the Study of Law (1908-1909),Introduction to the Study of Law,"Charles Henry Huberich,Arthur Martin Cathcart",1908-1909,,,,,1908,1909,Introduction to Law
Contracts (1908-1909),Contracts,Frederic Campbell Woodward,1908-1909,,,,,1908,1909,"Contracts, Torts & Remedies"
Criminal Law and Procedure (1908-1909),Criminal Law and Procedure,Charles Henry Huberich,1908-1909,,,,,1908,1909,Criminal Law & Procedure
Torts (1908-1909),Torts,Arthur Martin Cathcart,1908-1909,,,,,1908,1909,"Contracts, Torts & Remedies"
Property I (1908-1909),Property I,Joseph Walter Bingham,1908-1909,,,,,1908,1909,Property
Equity I (1908-1909),Equity I,Wesley Newcomb Hohfeld,1908-1909,,,,,1908,1909,"Contracts, Torts & Remedies"
Agency (1908-1909),Agency,Charles Andrews Huston,1908-1909,,,,,1908,1909,Agency
Bills and Notes (1908-1909),Bills and Notes,Charles Henry Huberich,1908-1909,,,,,1908,1909,Consumer & Commercial Law
Damages (1908-1909),Damages,Arthur Martin Cathcart,1908-1909,,,,,1908,1909,"Contracts, Torts & Remedies"
Equity II: Trusts (1908-1909),Equity II: Trusts,Wesley Newcomb Hohfeld,1908-1909,,,,,1908,1909,Trusts & Estates
Equity III (1908-1909),Equity III,Charles Andrews Huston,1908-1909,,,,,1908,1909,"Contracts, Torts & Remedies"
Partnership (1908-1909),Partnership,Frederic Campbell Woodward,1908-1909,,,,,1908,1909,Corporate Law
Pleading and Practice I (1908-1909),Pleading and Practice I,Arthur Martin Cathcart,1908-1909,,,,,1908,1909,Pleading
Property II (1908-1909),Property II,Joseph Walter Bingham,1908-1909,,,,,1908,1909,Property
Sales (1908-1909),Sales,Frederic Campbell Woodward,1908-1909,,,,,1908,1909,Consumer & Commercial Law
Admiralty (1908-1909),Admiralty,Charles Andrews Huston,1908-1909,,,,,1908,1909,International & Comparative Law
Conflict of Laws (1908-1909),Conflict of Laws,Charles Henry Huberich,1908-1909,,,,,1908,1909,Civil Law & Procedure
Evidence (1908-1909),Evidence,Wesley Newcomb Hohfeld,1908-1909,,,,,1908,1909,Evidence
Municipal Corporations (1908-1909),Municipal Corporations,Charles Andrews Huston,1908-1909,,,,,1908,1909,Local Law
Pleading and Practice III (1908-1909),Pleading and Practice III,John Slater Partridge,1908-1909,,,,,1908,1909,Pleading
Private Corporations (1908-1909),Private Corporations,Charles Andrews Huston,1908-1909,,,,,1908,1909,Corporate Law
Property III (1908-1909),Property III,Joseph Walter Bingham,1908-1909,,,,,1908,1909,Property
Bankruptcy (1908-1909),Bankruptcy,Frederic Campbell Woodward,1908-1909,,,,,1908,1909,Consumer & Commercial Law
Elements of Business Law (1908-1909),Elements of Business Law,"Charles Henry Huberich,Frederic Campbell Woodward,Wesley Newcomb Hohfeld,Charles Andrews Huston,Joseph Walter Bingham",1908-1909,,,,,1908,1909,Corporate Law
Introduction to the Study of Law (1909-1910),Introduction to the Study of Law,"Charles Henry Huberich,Charles Andrews Huston",1909-1910,,,,,1909,1910,Introduction to Law
Criminal Law (1909-1910),Criminal Law,Charles Henry Huberich,1909-1910,,,,,1909,1910,Criminal Law & Procedure
Constitutional Law (1909-1910),Constitutional Law,Charles Henry Huberich,1909-1910,,,,,1909,1910,Constitutional Law
Municipal Corporations (1909-1910),Municipal Corporations,Charles Andrews Huston,1909-1910,,,,,1909,1910,Local Law
International Law (1909-1910),International Law,Charles Henry Huberich,1909-1910,,,,,1909,1910,International & Comparative Law
Conflict of Laws (1909-1910),Conflict of Laws,Charles Henry Huberich,1909-1910,,,,,1909,1910,Civil Law & Procedure
Persons (1909-1910),Persons,Frederic Campbell Woodward,1909-1910,,,,,1909,1910,Family Law
Introduction to Property (1909-1910),Introduction to Property,Joseph Walter Bingham,1909-1910,,,,,1909,1910,Property
Wills and Administration (1909-1910),Wills and Administration,Joseph Walter Bingham,1909-1910,,,,,1909,1910,Trusts & Estates
Water Rights and Irrigation Law (1909-1910),Water Rights and Irrigation Law,Joseph Walter Bingham,1909-1910,,,,,1909,1910,"Environmental, Natural Resources, Land Use & Water Law"
Mining Law (1909-1910),Mining Law,Joseph Walter Bingham,1909-1910,,,,,1909,1910,"Environmental, Natural Resources, Land Use & Water Law"
Torts (1909-1910),Torts,Arthur Martin Cathcart,1909-1910,,,,,1909,1910,"Contracts, Torts & Remedies"
Contracts (1909-1910),Contracts,Frederic Campbell Woodward,1909-1910,,,,,1909,1910,"Contracts, Torts & Remedies"
Agency (1909-1910),Agency,Charles Andrews Huston,1909-1910,,,,,1909,1910,Agency
Sales (1909-1910),Sales,Frederic Campbell Woodward,1909-1910,,,,,1909,1910,Consumer & Commercial Law
Private Corporations (1909-1910),Private Corporations,Charles Andrews Huston,1909-1910,,,,,1909,1910,Corporate Law
Common Carriers and Public Service Companies (1909-1910),Common Carriers and Public Service Companies,Arthur Martin Cathcart,1909-1910,,,,,1909,1910,Administrative Law & Regulation
Insurance (1909-1910),Insurance,Charles Andrews Huston,1909-1910,,,,,1909,1910,Consumer & Commercial Law
Suretyship (1909-1910),Suretyship,Wesley Newcomb Hohfeld,1909-1910,,,,,1909,1910,Consumer & Commercial Law
Mortgages (1909-1910),Mortgages,Wesley Newcomb Hohfeld,1909-1910,,,,,1909,1910,Consumer & Commercial Law
Equity I (1909-1910),Equity I,Wesley Newcomb Hohfeld,1909-1910,,,,,1909,1910,"Contracts, Torts & Remedies"
Damages (1909-1910),Damages,Arthur Martin Cathcart,1909-1910,,,,,1909,1910,"Contracts, Torts & Remedies"
Common Law Pleading (1909-1910),Common Law Pleading,Arthur Martin Cathcart,1909-1910,,,,,1909,1910,Pleading
Equity Pleading (1909-1910),Equity Pleading,Arthur Martin Cathcart,1909-1910,,,,,1909,1910,Pleading
Code Pleading (1909-1910),Code Pleading,Arthur Martin Cathcart,1909-1910,,,,,1909,1910,Pleading
Evidence (1909-1910),Evidence,Wesley Newcomb Hohfeld,1909-1910,,,,,1909,1910,Evidence
California Practice (1909-1910),California Practice,John Slater Partridge,1909-1910,,,,,1909,1910,"Professional Skills, Practice & Ethics"
The Duties of a City Attorney (1909-1910),The Duties of a City Attorney,Percy V. Long,1909-1910,,,,,1909,1910,"Professional Skills, Practice & Ethics"
State and Federal Courts: A Study in Concurrent Jurisdiction (1909-1910),State and Federal Courts: A Study in Concurrent Jurisdiction,H.M. Wright,1909-1910,,,,,1909,1910,Courts & Jurisprudence
Equity Practice in the Federal Courts (1909-1910),Equity Practice in the Federal Courts,Robert T. Devlin,1909-1910,,,,,1909,1910,Courts & Jurisprudence
